ORIG_ARPT_CDE,DEST_ARPT_CDE,Origin BackBone Category,Dept BackBone Category,Turn Category,Date,ACFT_CAPY_CT,NSTP_MILE_CT,PAX,REV,ASM,RPM
SJC,PHX,Gateway,Constrained,HFLI,2/13/2019,143,621,501,57403,88803,310986
DEN,ELP,Cornerstone,Cornerstone,LFHI,2/13/2019,143,563,501,57425,80509,282044
BWI,SJC,Constrained,Gateway,Waste,2/13/2019,175,2439,501,57447,426825,1222305
AUS,SJC,Gateway,Gateway,Acceptable,2/13/2019,175,1476,501,57469,258300,739968
SAN,PDX,Constrained,Key Stations,Waste,2/13/2019,143,933,502,57490,133419,467915
ATL,LGA,Others,Gateway,HFLI,2/13/2019,143,762,502,57512,108966,382296
DAL,AMA,Others,Gateway,LFHI,2/13/2019,143,323,502,57534,46189,162109
BNA,OMA,Gateway,Constrained,Acceptable,2/13/2019,143,612,502,57556,87516,307265
DCA,MDW,Constrained,Key Stations,HFLI,2/13/2019,143,601,502,57578,85943,301853
MSP,MDW,Cornerstone,Key Stations,HFLI,2/13/2019,143,349,502,57600,49907,175350
MDW,RSW,Key Stations,Key Stations,HFLI,2/13/2019,143,1105,503,57622,158015,555393
BWI,SJU,Constrained,Cornerstone,HFLI,2/13/2019,175,1565,503,57644,273875,786884
ORF,BWI, ,Constrained,HFLI,2/13/2019,143,159,503,57666,22737,79975
DAL,SAT,Others,Key Stations,LFHI,2/13/2019,143,248,503,57688,35464,124786
LAX,LAS,Others,Key Stations,LFHI,2/13/2019,143,236,503,57710,33748,118791
LAS,CLE,Key Stations,Gateway,HFLI,2/13/2019,143,1824,504,57732,260832,918449
SAT,DAL,Key Stations,Others,Waste,2/13/2019,143,248,504,57754,35464,124922
LAX,ELP,Others,Cornerstone,Acceptable,2/13/2019,143,715,504,57776,102245,360290
ECP,BNA,Others,Gateway,Acceptable,2/13/2019,143,401,504,57798,57343,202139
DEN,OKC,Cornerstone,Key Stations,Waste,2/13/2019,143,495,504,57820,70785,249613
PWM,BWI, ,Constrained,Acceptable,2/13/2019,143,452,504,57842,64636,228013
CMH,MCO,Gateway,Others,HFLI,2/13/2019,143,802,505,57864,114686,404719
AUS,ELP,Gateway,Cornerstone,HFLI,2/13/2019,143,528,505,57886,75504,266545
TPA,PIT,Others,Key Stations,LFHI,2/13/2019,143,873,505,57908,124839,440868
ATL,IAD,Others,Constrained,Waste,2/13/2019,143,534,505,57930,76362,269770
MDW,STL,Key Stations,Others,LFHI,2/13/2019,143,251,505,57952,35893,126848
MSP,BNA,Cornerstone,Gateway,Waste,2/13/2019,143,695,506,57974,99385,351360
IAD,ATL,Constrained,Others,LFHI,2/13/2019,175,534,506,57995,93450,270064
LAX,DAL,Others,Others,LFHI,2/13/2019,143,1246,506,58017,178178,630378
BOS,MDW,Others,Key Stations,LFHI,2/13/2019,143,861,506,58039,123123,435756
MCI,DAL,Gateway,Others,Acceptable,2/13/2019,143,460,506,58061,65780,232892
PIT,MCO,Key Stations,Others,LFHI,2/13/2019,143,834,506,58083,119262,422397
LAS,OAK,Key Stations,Constrained,HFLI,2/13/2019,143,407,507,58105,58201,206209
PHX,SJC,Constrained,Gateway,LFHI,2/13/2019,143,621,507,58127,88803,314747
FLL,HOU,Cornerstone,Key Stations,Waste,2/13/2019,143,957,507,58149,136851,485220
BNA,PHX,Gateway,Constrained,LFHI,2/13/2019,143,1449,507,58171,207207,734941
MDW,CMH,Key Stations,Gateway,Waste,2/13/2019,143,283,507,58193,40469,143591
FLL,HAV,Cornerstone,Constrained,HFLI,2/13/2019,175,255,508,58215,44625,129431
BUR,SJC,Key Stations,Gateway,Waste,2/13/2019,143,296,508,58237,42328,150296
DAL,MCI,Others,Gateway,HFLI,2/13/2019,143,460,508,58259,65780,233652
LAS,ONT,Key Stations,Cornerstone,Waste,2/13/2019,143,197,508,58281,28171,100100
SLC,PHX,Gateway,Constrained,LFHI,2/13/2019,143,507,508,58303,72501,257711
OMA,HOU,Constrained,Key Stations,Acceptable,2/13/2019,143,804,508,58325,114972,408826
SAN,OAK,Constrained,Constrained,Acceptable,2/14/2019,175,446,509,58347,78050,226868
BNA,DCA,Gateway,Constrained,HFLI,2/14/2019,143,562,509,58369,80366,285978
DEN,SAN,Cornerstone,Constrained,LFHI,2/14/2019,175,853,509,58391,149275,434212
MSY,BNA,Constrained,Gateway,Acceptable,2/14/2019,143,471,509,58413,67353,239845
BUR,OAK,Key Stations,Constrained,Waste,2/14/2019,143,325,509,58435,46475,165557
BWI,FLL,Constrained,Cornerstone,HFLI,2/14/2019,175,925,510,58457,161875,471372
BWI,SMF,Constrained,Cornerstone,Acceptable,2/14/2019,175,2395,510,58479,419125,1220910
BWI,TPA,Constrained,Others,Acceptable,2/14/2019,143,842,510,58500,120406,429385
MDW,MEM,Key Stations,Cornerstone,HFLI,2/14/2019,143,480,510,58522,68640,244868
MDW,DTW,Key Stations,Key Stations,HFLI,2/14/2019,143,228,510,58544,32604,116354
ABQ,DAL,Others,Others,Waste,2/14/2019,143,580,511,58566,82940,296095
MKE,LAX,Cornerstone,Others,LFHI,2/14/2019,143,1756,511,58588,251108,896775
DAL,STL,Others,Others,Waste,2/14/2019,143,546,511,58610,78078,278938
MDW,STL,Key Stations,Others,Waste,2/14/2019,143,251,511,58632,35893,128276
PHX,DAL,Constrained,Others,Waste,2/14/2019,143,879,511,58654,125697,449382
SJC,HOU,Gateway,Key Stations,Waste,2/14/2019,175,1621,511,58676,283675,829022
HOU,MSY,Key Stations,Constrained,LFHI,2/14/2019,143,302,512,58698,43186,154506
DEN,SEA,Cornerstone,Constrained,LFHI,2/14/2019,143,1024,512,58720,146432,524076
FLL,HOU,Cornerstone,Key Stations,HFLI,2/14/2019,175,957,512,58742,167475,489962
BWI,MEM,Constrained,Cornerstone,HFLI,2/14/2019,143,787,512,58764,112541,403070
SJU,TPA,Cornerstone,Others,Acceptable,2/14/2019,175,1237,512,58786,216475,633769
SNA,PHX,Gateway,Constrained,HFLI,2/14/2019,143,338,513,58808,48334,173234
MSP,DEN,Cornerstone,Cornerstone,HFLI,2/14/2019,143,680,513,58830,97240,348643
MCI,SAT,Gateway,Key Stations,Waste,2/14/2019,143,706,513,58852,100958,362103
OAK,SEA,Constrained,Constrained,HFLI,2/14/2019,143,672,513,58874,96096,344788
LAS,ELP,Key Stations,Cornerstone,Waste,2/14/2019,143,583,513,58896,83369,299231
SAN,SFO,Constrained,Constrained,Acceptable,2/14/2019,143,447,513,58918,63921,229510
TUS,DEN,Cornerstone,Cornerstone,Waste,2/14/2019,143,639,514,58940,91377,328208
MCO,MDW,Others,Key Stations,Waste,2/14/2019,143,990,514,58962,141570,508673
SMF,ONT,Cornerstone,Cornerstone,Waste,2/14/2019,143,390,514,58983,55770,200458
ROC,TPA, ,Others,Waste,2/14/2019,143,1079,514,59005,154297,554799
BNA,DCA,Gateway,Constrained,LFHI,2/14/2019,143,562,514,59027,80366,289071
MSY,LAX,Constrained,Others,Waste,2/14/2019,175,1670,515,59049,292250,859291
GCM,FLL, ,Cornerstone,Waste,2/14/2019,143,473,515,59071,67639,243467
MHT,BWI, ,Constrained,Waste,2/14/2019,143,377,515,59093,53911,194122
BWI,CLT,Constrained,Cornerstone,Acceptable,2/14/2019,143,361,515,59115,51623,185950
SJC,PDX,Gateway,Key Stations,HFLI,2/14/2019,143,569,515,59137,81367,293194
OKC,DEN,Key Stations,Cornerstone,Acceptable,2/14/2019,143,495,515,59159,70785,255154
BWI,LIR,Constrained, ,LFHI,2/14/2019,143,2042,516,59181,292006,1052950
TPA,RIC,Others,Constrained,Acceptable,2/14/2019,143,723,516,59203,103389,372945
MCO,ORF,Others, ,Acceptable,2/14/2019,143,655,516,59225,93665,337989
ONT,LAS,Cornerstone,Key Stations,Acceptable,2/14/2019,143,197,516,59247,28171,101691
MDW,TUS,Key Stations,Cornerstone,HFLI,2/14/2019,143,1440,516,59269,205920,743588
PDX,SJC,Key Stations,Gateway,Waste,2/14/2019,143,569,517,59291,81367,293925
OAK,PDX,Constrained,Key Stations,HFLI,2/14/2019,143,543,517,59313,77649,280594
BWI,MCO,Constrained,Others,Acceptable,2/14/2019,175,787,517,59335,137725,406825
SDF,TPA,Gateway,Others,LFHI,2/14/2019,143,727,517,59357,103961,375942
OAK,SAN,Constrained,Constrained,HFLI,2/14/2019,143,446,517,59379,63778,230715
AUS,BWI,Gateway,Constrained,Waste,2/14/2019,175,1342,517,59401,234850,694460
BWI,PWM,Constrained, ,LFHI,2/14/2019,143,452,518,59423,64636,233985
SJC,SNA,Gateway,Gateway,Waste,2/14/2019,143,342,518,59445,48906,177104
ATL,DEN,Others,Cornerstone,HFLI,2/15/2019,175,1199,518,59467,209825,621120
LGB,LAS,Gateway,Key Stations,Waste,2/15/2019,143,231,518,59488,33033,119708
BWI,ALB,Constrained,Key Stations,HFLI,2/15/2019,143,289,518,59510,41327,149817
OMA,STL,Constrained,Others,LFHI,2/15/2019,143,342,519,59532,48906,177355
BWI,CMH,Constrained,Gateway,Waste,2/15/2019,143,337,519,59554,48191,174824
MDW,DAL,Key Stations,Others,LFHI,2/15/2019,143,793,519,59576,113399,411527
STL,DCA,Others,Constrained,Waste,2/15/2019,143,719,519,59598,102817,373257
DAL,BNA,Others,Gateway,Acceptable,2/15/2019,143,623,519,59620,89089,323534
PUJ,BWI, ,Constrained,Acceptable,2/15/2019,143,1504,519,59642,215072,781328
STL,MDW,Others,Key Stations,Waste,2/15/2019,143,251,520,59664,35893,130441
PHX,SEA,Constrained,Constrained,HFLI,2/15/2019,143,1107,520,59686,158301,575493
SJU,MCO,Cornerstone,Others,Waste,2/15/2019,175,1189,520,59708,208075,618340
OAK,MSY,Constrained,Constrained,HFLI,2/15/2019,175,1903,520,59730,333025,990005
PHX,LAS,Constrained,Key Stations,HFLI,2/15/2019,143,255,520,59752,36465,132706
PHX,OAK,Constrained,Constrained,Acceptable,2/15/2019,143,646,521,59774,92378,336308
SFO,DAL,Constrained,Others,HFLI,2/15/2019,175,1476,521,59796,258300,768678
DAL,BNA,Others,Gateway,Acceptable,2/15/2019,143,623,521,59818,89089,324563
STL,RSW,Others,Key Stations,LFHI,2/15/2019,175,979,521,59840,171325,510207
MSY,ATL,Constrained,Others,Waste,2/15/2019,143,425,521,59862,60775,221567
MKE,FLL,Cornerstone,Cornerstone,HFLI,2/15/2019,143,1243,522,59884,177749,648247
BNA,LAX,Gateway,Others,Acceptable,2/15/2019,143,1797,522,59906,256971,937498
PHL,PHX,Constrained,Constrained,Acceptable,2/15/2019,143,2075,522,59928,296725,1082912
SJC,BUR,Gateway,Key Stations,HFLI,2/15/2019,143,296,522,59950,42328,154532
DAL,HOU,Others,Key Stations,Waste,2/15/2019,143,239,522,59971,34177,124818
MAF,LAS,Key Stations,Key Stations,LFHI,2/15/2019,143,795,522,59993,113685,415337
IND,DEN,Gateway,Cornerstone,Acceptable,2/15/2019,143,977,523,60015,139711,510599
MDW,DEN,Key Stations,Cornerstone,HFLI,2/15/2019,143,895,523,60037,127985,467909
LAX,OAK,Others,Constrained,HFLI,2/15/2019,175,337,523,60059,58975,176246
MDW,PUJ,Key Stations, ,Acceptable,2/15/2019,143,1965,523,60081,280995,1028029
MDW,LGA,Key Stations,Gateway,HFLI,2/15/2019,143,725,523,60103,103675,379431
PHX,BWI,Constrained,Constrained,Acceptable,2/15/2019,175,1999,524,60125,349825,1046550
RNO,LAS,Others,Key Stations,HFLI,2/15/2019,143,345,524,60147,49335,180684
BHM,TPA,Others,Others,Acceptable,2/15/2019,143,459,524,60169,65637,240472
SJC,PHX,Gateway,Constrained,Waste,2/15/2019,143,621,524,60191,88803,325458
OAK,SAN,Constrained,Constrained,LFHI,2/15/2019,143,446,524,60213,63778,233825
MDW,SEA,Key Stations,Constrained,Waste,2/15/2019,175,1733,524,60235,303275,908879
PHX,DEN,Constrained,Cornerstone,LFHI,2/15/2019,175,602,525,60257,105350,315832
BWI,PVD,Constrained,Constrained,HFLI,2/15/2019,143,327,525,60279,46761,171617
PHL,STL,Constrained,Others,Acceptable,2/15/2019,143,814,525,60301,116402,427354
MCO,RDU,Others,Others,LFHI,2/15/2019,143,534,525,60323,76362,280451
LIT,STL,Key Stations,Others,Waste,2/15/2019,143,296,525,60345,42328,155510
LAS,BUF,Key Stations,Key Stations,Waste,2/15/2019,175,1986,526,60367,347550,1043753
GRR,MDW, ,Key Stations,HFLI,2/15/2019,143,137,526,60389,19591,72026
PVD,BWI,Constrained,Constrained,HFLI,2/15/2019,143,327,526,60411,46761,171977
DAL,OKC,Others,Key Stations,HFLI,2/15/2019,143,181,526,60433,25883,95225
BWI,BDL,Constrained,Key Stations,LFHI,2/15/2019,143,283,526,60455,40469,148940
MDW,LAX,Key Stations,Others,Waste,2/15/2019,143,1750,526,60476,250250,921328
LAX,SFO,Others,Constrained,Waste,2/15/2019,143,337,527,60498,48191,177483
HOU,BNA,Key Stations,Gateway,Acceptable,2/15/2019,143,670,527,60520,95810,352983
DEN,IND,Cornerstone,Gateway,Waste,2/16/2019,143,977,527,60542,139711,514902
SMF,ONT,Cornerstone,Cornerstone,HFLI,2/16/2019,143,390,527,60564,55770,205611
DAL,MEM,Others,Cornerstone,LFHI,2/16/2019,143,423,527,60586,60489,223086
TPA,ATL,Others,Others,LFHI,2/16/2019,143,406,528,60608,58058,214195
CMH,HOU,Gateway,Key Stations,Waste,2/16/2019,143,1001,528,60630,143143,528285
DAL,LBB,Others,Constrained,HFLI,2/16/2019,143,293,528,60652,41899,154687
ABQ,DEN,Others,Cornerstone,LFHI,2/16/2019,143,349,528,60674,49907,184315
BOS,BWI,Others,Constrained,HFLI,2/16/2019,143,369,528,60696,52767,194946
BOS,MDW,Others,Key Stations,Acceptable,2/16/2019,143,861,528,60718,123123,455031
SJC,LAS,Gateway,Key Stations,Acceptable,2/16/2019,143,386,529,60740,55198,204068
CMH,BWI,Gateway,Constrained,LFHI,2/16/2019,143,337,529,60762,48191,178225
RDU,TPA,Others,Others,LFHI,2/16/2019,143,587,529,60784,83941,310548
LAS,SEA,Key Stations,Constrained,LFHI,2/16/2019,175,867,529,60806,151725,458838
CHS,MDW,Cornerstone,Key Stations,LFHI,2/16/2019,143,745,529,60828,106535,394410
DAL,DEN,Others,Cornerstone,HFLI,2/16/2019,143,651,530,60850,93093,344765
BNA,LGA,Gateway,Gateway,LFHI,2/16/2019,143,764,530,60872,109252,404749
PIT,DEN,Key Stations,Cornerstone,Waste,2/16/2019,175,1290,530,60894,225750,683648
PHX,HOU,Constrained,Key Stations,HFLI,2/16/2019,175,1020,530,60916,178500,540746
AUS,DAL,Gateway,Others,HFLI,2/16/2019,143,189,530,60938,27027,100232
PIT,BNA,Key Stations,Gateway,Acceptable,2/16/2019,143,462,531,60959,66066,245096
ATL,GSP,Others,Gateway,HFLI,2/16/2019,143,153,531,60981,21879,81196
MSY,DCA,Constrained,Constrained,LFHI,2/16/2019,143,969,531,61003,138567,514420
AUS,HOU,Gateway,Key Stations,HFLI,2/16/2019,143,148,531,61025,21164,78597
BWI,PVD,Constrained,Constrained,Acceptable,2/16/2019,175,327,531,61047,57225,173717
DAL,ATL,Others,Others,HFLI,2/16/2019,143,721,531,61069,103103,383159
HOU,TUL,Key Stations,Cornerstone,Acceptable,2/16/2019,175,453,532,61091,79275,240820
DEN,OMA,Cornerstone,Constrained,Acceptable,2/16/2019,143,472,532,61113,67496,251007
LAS,IND,Key Stations,Gateway,Waste,2/16/2019,175,1590,532,61135,278250,845845
LAS,BWI,Key Stations,Constrained,Acceptable,2/16/2019,143,2106,532,61157,301158,1120732
BOS,DEN,Others,Cornerstone,Acceptable,2/16/2019,175,1754,532,61179,306950,933733
ABQ,DAL,Others,Others,Waste,2/16/2019,143,580,533,61201,82940,308866
DCA,FLL,Constrained,Cornerstone,LFHI,2/16/2019,143,899,533,61223,128557,478908
LGA,TPA,Gateway,Others,LFHI,2/16/2019,143,1010,533,61245,144430,538224
SNA,PHX,Gateway,Constrained,Acceptable,2/16/2019,143,338,533,61267,48334,180181
OAK,DEN,Constrained,Cornerstone,HFLI,2/16/2019,143,957,533,61289,136851,510332
MKE,BWI,Cornerstone,Constrained,Acceptable,2/16/2019,143,641,533,61311,91663,341939
PHL,MDW,Constrained,Key Stations,Acceptable,2/16/2019,143,668,534,61333,95524,356464
LBB,DEN,Constrained,Cornerstone,LFHI,2/16/2019,143,456,534,61355,65208,243419
PHL,HOU,Constrained,Key Stations,Waste,2/16/2019,175,1336,534,61377,233800,713419
DEN,LAS,Cornerstone,Key Stations,HFLI,2/16/2019,175,628,534,61399,109900,335465
STL,OMA,Others,Constrained,LFHI,2/16/2019,143,342,534,61421,48906,182752
IND,ATL,Gateway,Others,Acceptable,2/16/2019,143,432,535,61443,61776,230924
MDW,LAX,Key Stations,Others,Waste,2/16/2019,175,1750,535,61464,306250,935778
SJD,LAX,Others,Others,Acceptable,2/16/2019,143,911,535,61486,130273,487306
LAS,LGB,Key Stations,Gateway,Waste,2/16/2019,143,231,535,61508,33033,123607
RIC,ATL,Constrained,Others,Acceptable,2/16/2019,175,481,535,61530,84175,257470
DAL,SAT,Others,Key Stations,HFLI,2/16/2019,143,248,535,61552,35464,132795
LAX,RNO,Others,Others,LFHI,2/16/2019,143,391,536,61574,55913,209438
PIT,FLL,Key Stations,Cornerstone,HFLI,2/16/2019,175,994,536,61596,173950,532616
MDW,BOS,Key Stations,Others,LFHI,2/16/2019,143,861,536,61618,123123,461509
SAT,DEN,Key Stations,Cornerstone,Waste,2/16/2019,143,794,536,61640,113542,425741
TUL,DAL,Cornerstone,Others,Waste,2/17/2019,143,237,536,61662,33891,127122
LGB,OAK,Gateway,Constrained,LFHI,2/17/2019,143,353,537,61684,50479,189408
MCI,MCO,Gateway,Others,Waste,2/17/2019,143,1072,537,61706,153296,575395
SJC,BUR,Gateway,Key Stations,HFLI,2/17/2019,143,296,537,61728,42328,158932
PHX,SAN,Constrained,Constrained,HFLI,2/17/2019,143,304,537,61750,43472,163283
TPA,MCI,Others,Gateway,Waste,2/17/2019,143,1048,537,61772,149864,563090
LAS,AUS,Key Stations,Gateway,Waste,2/17/2019,175,1090,537,61794,190750,585856
DAL,MSY,Others,Constrained,LFHI,2/17/2019,143,436,538,61816,62348,234423
DAL,OMA,Others,Constrained,Acceptable,2/17/2019,143,585,538,61838,83655,314642
OMA,LAX,Constrained,Others,Waste,2/17/2019,175,1330,538,61860,232750,715584
HRL,HOU,Cornerstone,Key Stations,Acceptable,2/17/2019,143,277,538,61882,39611,149086
CUN,HOU,Cornerstone,Key Stations,HFLI,2/17/2019,143,791,538,61904,113113,425875
DAL,STL,Others,Others,Waste,2/17/2019,143,546,539,61926,78078,294067
MDW,SLC,Key Stations,Gateway,Acceptable,2/17/2019,175,1259,539,61948,220325,678308
LGA,MCI,Gateway,Gateway,Acceptable,2/17/2019,143,1107,539,61969,158301,596619
STL,AUS,Others,Gateway,Waste,2/17/2019,143,721,539,61991,103103,388716
ONT,SJC,Cornerstone,Gateway,LFHI,2/17/2019,143,333,539,62013,47619,179593
MCO,PHL,Others,Constrained,Waste,2/17/2019,143,861,540,62035,123123,464511
DCA,MSY,Constrained,Constrained,HFLI,2/17/2019,143,969,540,62057,138567,522955
HOU,JAX,Key Stations,Others,LFHI,2/17/2019,143,816,540,62079,116688,440533
BWI,MHT,Constrained, ,HFLI,2/17/2019,175,377,540,62101,65975,203600
LAX,TPA,Others,Others,Waste,2/17/2019,143,2158,540,62123,308594,1165828
DEN,HOU,Cornerstone,Key Stations,LFHI,2/17/2019,143,883,540,62145,126269,477190
DCA,TPA,Constrained,Others,Waste,2/17/2019,143,814,541,62167,116402,440050
BWI,IND,Constrained,Gateway,Acceptable,2/17/2019,143,516,541,62189,73788,279045
DAL,LBB,Others,Constrained,HFLI,2/17/2019,143,293,541,62211,41899,158504
HOU,MKE,Key Stations,Cornerstone,LFHI,2/17/2019,175,1004,541,62233,175700,543317
FLL,PLS,Cornerstone, ,LFHI,2/17/2019,143,579,541,62255,82797,313434
DAL,ATL,Others,Others,Acceptable,2/17/2019,143,721,542,62277,103103,390436
PHX,DEN,Constrained,Cornerstone,HFLI,2/17/2019,143,602,542,62299,86086,326105
STL,DTW,Others,Key Stations,LFHI,2/17/2019,143,440,542,62321,62920,238430
CRP,HOU, ,Key Stations,LFHI,2/17/2019,143,187,542,62343,26741,101367
PDX,DAL,Key Stations,Others,HFLI,2/17/2019,143,1626,542,62365,232518,881705
BUR,SJC,Key Stations,Gateway,Waste,2/17/2019,143,296,542,62387,42328,160561
BUR,OAK,Key Stations,Constrained,Waste,2/17/2019,143,325,543,62409,46475,176352
AUS,DAL,Gateway,Others,LFHI,2/17/2019,143,189,543,62431,27027,102590
SAN,TUS,Constrained,Cornerstone,LFHI,2/17/2019,143,368,543,62452,52624,199819
LAX,HOU,Others,Key Stations,LFHI,2/17/2019,175,1390,543,62474,243250,755008
BNA,CHS,Gateway,Cornerstone,Acceptable,2/17/2019,143,439,543,62496,62777,238533
DAL,AUS,Others,Gateway,Waste,2/17/2019,143,189,544,62518,27027,102729
OAK,CMH,Constrained,Gateway,Waste,2/17/2019,143,2110,544,62540,301730,1147253
SEA,DEN,Constrained,Cornerstone,LFHI,2/17/2019,175,1024,544,62562,179200,556959
PHX,AUS,Constrained,Gateway,Acceptable,2/17/2019,143,872,544,62584,124696,474445
DAL,HRL,Others,Cornerstone,Waste,2/17/2019,143,459,544,62606,65637,249821
HNL,OAK,Others,Constrained,Acceptable,2/17/2019,175,2409,544,62628,421575,1311594
PHX,MDW,Constrained,Key Stations,Acceptable,2/17/2019,143,1444,545,62650,206492,786459
AUS,LAX,Gateway,Others,Acceptable,2/17/2019,175,1242,545,62672,217350,676670
SAT,ATL,Key Stations,Others,HFLI,2/17/2019,143,874,545,62694,124982,476335
LAX,MCI,Others,Gateway,HFLI,2/17/2019,143,1363,545,62716,194909,743094
RSW,PIT,Key Stations,Key Stations,LFHI,2/18/2019,143,966,545,62738,138138,526831
AUS,ABQ,Gateway,Others,Waste,2/18/2019,143,619,546,62760,88517,337700
ATL,HOU,Others,Key Stations,Waste,2/18/2019,143,696,546,62782,99528,379835
MDW,DCA,Key Stations,Constrained,Acceptable,2/18/2019,143,601,546,62804,85943,328100
SJC,LAS,Gateway,Key Stations,Waste,2/18/2019,175,386,546,62826,67550,210797
BWI,BUF,Constrained,Key Stations,LFHI,2/18/2019,143,281,546,62848,40183,153508
MKE,PHX,Cornerstone,Constrained,Waste,2/18/2019,175,1460,546,62870,255500,797852
BDL,TPA,Key Stations,Others,Acceptable,2/18/2019,143,1111,547,62892,158873,607337
LAX,PHX,Others,Constrained,LFHI,2/18/2019,143,370,547,62914,52910,202331
ONT,OAK,Cornerstone,Constrained,HFLI,2/18/2019,143,362,547,62936,51766,198023
PHX,STL,Constrained,Others,Acceptable,2/18/2019,175,1262,547,62957,220850,690577
BWI,DEN,Constrained,Cornerstone,HFLI,2/18/2019,175,1491,547,62979,260925,816161
SAN,TPA,Constrained,Others,Acceptable,2/18/2019,175,2087,548,63001,365225,1142789
BUR,SJC,Key Stations,Gateway,Waste,2/18/2019,143,296,548,63023,42328,162137
BNA,FLL,Gateway,Cornerstone,Acceptable,2/18/2019,143,793,548,63045,113399,434518
MDW,AUS,Key Stations,Gateway,Waste,2/18/2019,143,972,548,63067,138996,532778
MCO,IND,Others,Gateway,Acceptable,2/18/2019,143,829,548,63089,118547,454548
SFO,DEN,Constrained,Cornerstone,LFHI,2/18/2019,143,967,548,63111,138281,530392
LGA,MDW,Gateway,Key Stations,Waste,2/18/2019,143,725,549,63133,103675,397790
ORF,MCO, ,Others,HFLI,2/18/2019,143,655,549,63155,93665,359503
BOS,BWI,Others,Constrained,LFHI,2/18/2019,143,369,549,63177,52767,202597
SAN,DAL,Constrained,Others,Waste,2/18/2019,175,1182,549,63199,206850,649186
DEN,OAK,Cornerstone,Constrained,LFHI,2/18/2019,143,957,549,63221,136851,525786
PHX,ONT,Constrained,Cornerstone,LFHI,2/18/2019,143,325,550,63243,46475,178618
STL,DEN,Others,Cornerstone,LFHI,2/18/2019,143,770,550,63265,110110,423328
SAT,HOU,Key Stations,Key Stations,Acceptable,2/18/2019,143,192,550,63287,27456,105592
LAS,BUR,Key Stations,Key Stations,Acceptable,2/18/2019,143,223,550,63309,31889,122682
HOU,MCO,Key Stations,Others,Acceptable,2/18/2019,175,849,550,63331,148575,467228
SMF,DEN,Cornerstone,Cornerstone,HFLI,2/18/2019,175,909,551,63353,159075,500415
MKE,ATL,Cornerstone,Others,Acceptable,2/18/2019,143,669,551,63375,95667,368415
RNO,SAN,Others,Constrained,HFLI,2/18/2019,143,488,551,63397,69784,268829
SAN,MCO,Constrained,Others,Waste,2/18/2019,175,2149,551,63419,376075,1184232
CUN,AUS,Cornerstone,Gateway,HFLI,2/18/2019,143,921,551,63440,131703,507697
AUA,FLL, ,Cornerstone,Waste,2/18/2019,143,1143,551,63462,163449,630283
OAK,BUR,Constrained,Key Stations,Waste,2/18/2019,143,325,552,63484,46475,179274
OAK,SEA,Constrained,Constrained,LFHI,2/18/2019,175,672,552,63506,117600,370807
DAL,BNA,Others,Gateway,Acceptable,2/18/2019,143,623,552,63528,89089,343883
CLE,MDW,Gateway,Key Stations,HFLI,2/18/2019,143,307,552,63550,43901,169514
SFO,LAS,Constrained,Key Stations,HFLI,2/18/2019,143,414,552,63572,59202,228671
STL,DAL,Others,Others,Waste,2/18/2019,143,546,553,63594,78078,301681
HOU,BHM,Key Stations,Others,LFHI,2/18/2019,143,570,553,63616,81510,315047
BUR,OAK,Key Stations,Constrained,LFHI,2/18/2019,143,325,553,63638,46475,179691
LAX,BWI,Others,Constrained,Acceptable,2/18/2019,175,2329,553,63660,407575,1288124
MSP,DEN,Cornerstone,Cornerstone,Acceptable,2/18/2019,175,680,553,63682,119000,376219
MDW,RDU,Key Stations,Others,Acceptable,2/18/2019,143,632,553,63704,90376,349779
DAL,ABQ,Others,Others,Waste,2/18/2019,143,580,554,63726,82940,321106
MDW,MCI,Key Stations,Gateway,HFLI,2/18/2019,143,405,554,63748,57915,224295
BWI,MDW,Constrained,Key Stations,Waste,2/18/2019,175,611,554,63770,106925,338493
CMH,BWI,Gateway,Constrained,Acceptable,2/18/2019,143,337,554,63792,48191,186759
MHT,BWI, ,Constrained,HFLI,2/18/2019,143,377,554,63814,53911,208995
BDL,BWI,Key Stations,Constrained,Waste,2/18/2019,143,283,555,63836,40469,156937
TPA,SJU,Others,Cornerstone,Waste,2/19/2019,175,1237,555,63858,216475,686203
PHX,BUR,Constrained,Key Stations,Acceptable,2/19/2019,143,369,555,63880,52767,204764
SNA,LAS,Gateway,Key Stations,Waste,2/19/2019,143,226,555,63902,32318,125452
MDW,PHX,Key Stations,Constrained,Acceptable,2/19/2019,175,1444,555,63924,252700,801827
SAN,RNO,Constrained,Others,LFHI,2/19/2019,143,488,555,63945,69784,271067
DAL,MDW,Others,Key Stations,Acceptable,2/19/2019,175,793,556,63967,138775,440630
BOS,MDW,Others,Key Stations,Acceptable,2/19/2019,143,861,556,63989,123123,478572
BWI,BOS,Constrained,Others,Acceptable,2/19/2019,143,369,556,64011,52767,205170
FLL,MCO,Cornerstone,Others,Waste,2/19/2019,143,177,556,64033,25311,98447
FLL,MBJ,Cornerstone,Constrained,Acceptable,2/19/2019,143,540,556,64055,77220,300447
BUR,DAL,Key Stations,Others,Waste,2/19/2019,143,1243,557,64077,177749,691812
MCO,MDW,Others,Key Stations,Acceptable,2/19/2019,175,990,557,64099,173250,551183
PHL,BNA,Constrained,Gateway,LFHI,2/19/2019,143,675,557,64121,96525,375930
STL,SLC,Others,Gateway,Waste,2/19/2019,143,1156,557,64143,165308,644027
